user,profession,tweet
@TomCruise,Actor,Thank you to all the fans who came out to Hall H today. It was great to share our first trailer for Top Gun: Maverick with you all.
@TomCruise,Actor,Thank you to everyone who supported Mission: Impossible Fallout in theaters. We have been working on extras and behind the scenes footage and I’m excited to announce that it will be released on digital on November 20 and Blu-ray on December 4.
@TomCruise,Actor,"2,000 feet, 2,000 people, 4 hours of hiking. The most impossible screening of #MissionImpossible Fallout. Thank you all for coming! I wish I could have been there."
@TomCruise,Actor,It was an honor to be recognized at #CinemaCon last night with the Pioneer of the Year award by the Will Rogers Motion Picture Pioneers Foundation - an organization that does so much for so many.
@TomCruise,Actor,Thank you to the amazing people of New Zealand! I've had a great time filming the next Mission: Impossible here.
@TomCruise,Actor,"While in Australia I met the talented Jino Van Bruinessen, who made this sarcophagus completely out of sand. Incredible! #TheMummy"
@TomCruise,Actor,I loved seeing my fans at the Japanese Premiere and I'm thrilled to share Mission: Impossible with you. #MIJP
@TomCruise,Actor,I'm excited to visit Japan for Edge of Tomorrow (released as All You Need Is Kill - based on the book that inspired the movie). Can't wait.
@TomCruise,Actor,So much energy in the theater after the movie. I love sharing this film with audiences.
@TomCruise,Actor,Thanks again to everyone who joined us for the global premiere of Edge of Tomorrow. Check out the highlight video.
@TomCruise,Actor,Pumped for the 24 hour 3 city premiere with Emily. Let's do this! #EdgeOfJetLag
@TomCruise,Actor,Behind the scenes from #MinorityReport w/ Steven Spielberg. What are some movies you'd like to see #BTS photos from?
@TomCruise,Actor,Taking it back to 1981 for #TBT. Here’s a candid moment from the set of “Taps” with Sean Penn and
@TomCruise,Actor,"Rainne, awesome job! Sharing! -TeamTC @Codename_Rainne I edited and reuploaded the Tom Cruise video I made here :) "
@TomCruise,Actor,Today we celebrate Frank T.J. Mackey & the 14yr anniversary of Paul Thomas Anderson's Magnolia
@TomCruise,Actor,"Ok, that Tom Cruise Mission Impossible #Trivia question was WAY too easy for you, try THIS"
@TomCruise,Actor,"""Every passing minute is a another chance to turn it all around..."""
@TomCruise,Actor,TeamTC sends our thoughts and support to the people of the Philippines suffering through Typhoon Haiyan
@TomCruise,Actor,"That reminds us. We have a few more 2giveaway\m/, details soon, dude!"
